				8kHz						10kHz						13kHz						16kHz						20kHz						23kHz						26kHz						30kHz						
PInG	Trigger	L1 seed	Proposed dataset	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	EvtSize (KB)
	HLT_HIMinimumBias_part0_v1	L1_MinimumBiasHF1_AND_BptxAND	AAHIMinimumBiasN	8000	1	8000	8000	16	500	10000	1	10000	10000	20	500	13000	1	13000	13000	26	500	16000	1	16000	16000	32	500	20000	1	20000	20000	40	500	23000	2	11500	23000	23	500	26000	2	13000	26000	26	500	30000	2	15000	30000	30	500	1000
																																																				
																																																				
	HLT_HIUPC_DoubleEG2_NotMBHF2AND_SinglePixelTrack_v1	L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND	HIForward	12.5	1	12.48	9.4	1	9.44	15.6	1	15.6	11.8	1	11.8	20.3	1	20.28	15.3	1	15.34	25	1	24.96	18.9	1	18.88	31.2	1	31.2	23.6	1	23.6	35.9	1	35.88	27.1	1	27.14	40.6	1	40.56	30.7	1	30.68	46.8	1	46.8	35.4	1	35.4	100
	HLT_HIUPC_DoubleEG2_NotMBHF2AND_v1	L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND	HIForward	12.5	1	12.48	12.5	1	12.48	15.6	1	15.6	15.6	1	15.6	20.3	1	20.28	20.3	1	20.28	25	1	24.96	25	1	24.96	31.2	1	31.2	31.2	1	31.2	35.9	1	35.88	35.9	1	35.88	40.6	1	40.56	40.6	1	40.56	46.8	1	46.8	46.8	1	46.8	100
	HLT_HIUPC_DoubleEG5_NotMBHF2OR_SinglePixelTrack_MaxPixelTrack_v1	L1_DoubleEG5_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.1	1	0.08	0	1	0.0016	0.1	1	0.1	0	1	0.002	0.1	1	0.13	0	1	0.0026	0.2	1	0.16	0	1	0.0032	0.2	1	0.2	0	1	0.004	0.2	1	0.23	0	1	0.0046	0.3	1	0.26	0	1	0.0052	0.3	1	0.3	0	1	0.006	100
	HLT_HIUPC_DoubleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v1	L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND	HIForward	2.1	1	2.08	0	1	0.04	2.6	1	2.6	0.1	1	0.05	3.4	1	3.38	0.1	1	0.065	4.2	1	4.16	0.1	1	0.08	5.2	1	5.2	0.1	1	0.1	6	1	5.98	0.1	1	0.115	6.8	1	6.76	0.1	1	0.13	7.8	1	7.8	0.2	1	0.15	100
	HLT_HIUPC_DoubleEG5_NotMBHF2AND_SinglePixelTrack_v1	L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND	HIForward	2.1	1	2.08	1.1	1	1.12	2.6	1	2.6	1.4	1	1.4	3.4	1	3.38	1.8	1	1.82	4.2	1	4.16	2.2	1	2.24	5.2	1	5.2	2.8	1	2.8	6	1	5.98	3.2	1	3.22	6.8	1	6.76	3.6	1	3.64	7.8	1	7.8	4.2	1	4.2	100
	HLT_HIUPC_DoubleEG5_NotMBHF2AND_v1	L1_DoubleEG5_NotMinimumBiasHF2_AND_BptxAND	HIForward	2.1	1	2.08	2.1	1	2.08	2.6	1	2.6	2.6	1	2.6	3.4	1	3.38	3.4	1	3.38	4.2	1	4.16	4.2	1	4.16	5.2	1	5.2	5.2	1	5.2	6	1	5.98	6	1	5.98	6.8	1	6.76	6.8	1	6.76	7.8	1	7.8	7.8	1	7.8	100
	HLT_HIUPC_DoubleEG5_BptxAND_SinglePixelTrack_MaxPixelTrack_v1	L1_DoubleEG5_BptxAND	HIForward	48	0	#DIV/0!	#DIV/0!	0	#DIV/0!	60	0	#DIV/0!	#DIV/0!	0	#DIV/0!	78	0	#DIV/0!	#DIV/0!	0	#DIV/0!	96	0	#DIV/0!	#DIV/0!	0	#DIV/0!	120	0	#DIV/0!	#DIV/0!	0	#DIV/0!	138	0	#DIV/0!	#DIV/0!	0	#DIV/0!	156	0	#DIV/0!	#DIV/0!	0	#DIV/0!	180	0	#DIV/0!	#DIV/0!	0	#DIV/0!	100
	HLT_HIUPC_DoubleEG5_NotMBHF2OR_SinglePixelTrack_v1	L1_DoubleEG5_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.1	1	0.08	0	1	0.04	0.1	1	0.1	0.1	1	0.05	0.1	1	0.13	0.1	1	0.065	0.2	1	0.16	0.1	1	0.08	0.2	1	0.2	0.1	1	0.1	0.2	1	0.23	0.1	1	0.115	0.3	1	0.26	0.1	1	0.13	0.3	1	0.3	0.2	1	0.15	100
	HLT_HIUPC_DoubleEG5_NotMBHF2OR_v1	L1_DoubleEG5_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.1	1	0.08	0.1	1	0.08	0.1	1	0.1	0.1	1	0.1	0.1	1	0.13	0.1	1	0.13	0.2	1	0.16	0.2	1	0.16	0.2	1	0.2	0.2	1	0.2	0.2	1	0.23	0.2	1	0.23	0.3	1	0.26	0.3	1	0.26	0.3	1	0.3	0.3	1	0.3	100
	HLT_HIUPC_SingleEG5_NotMBHF2OR_SinglePixelTrack_MaxPixelTrack_v1	L1_SingleEG5_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.5	1	0.48	0	1	0.008	0.6	1	0.6	0	1	0.01	0.8	1	0.78	0	1	0.013	1	1	0.96	0	1	0.016	1.2	1	1.2	0	1	0.02	1.4	1	1.38	0	1	0.023	1.6	1	1.56	0	1	0.026	1.8	1	1.8	0	1	0.03	100
	HLT_HIUPC_SingleEG5_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v1	L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND	HIForward	14.4	1	14.4	0	1	0.0208	18	1	18	0	1	0.026	23.4	1	23.4	0	1	0.0338	28.8	1	28.8	0	1	0.0416	36	1	36	0.1	1	0.052	41.4	1	41.4	0.1	1	0.0598	46.8	1	46.8	0.1	1	0.0676	54	1	54	0.1	1	0.078	100
	HLT_HIUPC_SingleEG5_NotMBHF2AND_SinglePixelTrack_v1	L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND	HIForward	14.4	1	14.4	9.6	1	9.6	18	1	18	12	1	12	23.4	1	23.4	15.6	1	15.6	28.8	1	28.8	19.2	1	19.2	36	1	36	24	1	24	41.4	1	41.4	27.6	1	27.6	46.8	1	46.8	31.2	1	31.2	54	1	54	36	1	36	100
	HLT_HIUPC_SingleEG5_NotMBHF2AND_v1	L1_SingleEG5_NotMinimumBiasHF2_AND_BptxAND	HIForward	14.4	1	14.4	14.4	1	14.4	18	1	18	18	1	18	23.4	1	23.4	23.4	1	23.4	28.8	1	28.8	28.8	1	28.8	36	1	36	36	1	36	41.4	1	41.4	41.4	1	41.4	46.8	1	46.8	46.8	1	46.8	54	1	54	54	1	54	100
	HLT_HIUPC_SingleEG5_BptxAND_SinglePixelTrack_MaxPixelTrack_v1	L1_SingleEG5_BptxAND	HIForward	320	0	#DIV/0!	#DIV/0!	0	#DIV/0!	400	0	#DIV/0!	#DIV/0!	0	#DIV/0!	520	0	#DIV/0!	#DIV/0!	0	#DIV/0!	640	0	#DIV/0!	#DIV/0!	0	#DIV/0!	800	0	#DIV/0!	#DIV/0!	0	#DIV/0!	920	0	#DIV/0!	#DIV/0!	0	#DIV/0!	1040	0	#DIV/0!	#DIV/0!	0	#DIV/0!	1200	0	#DIV/0!	#DIV/0!	0	#DIV/0!	100
	HLT_HIUPC_SingleEG5_NotMBHF2OR_SinglePixelTrack_v1	L1_SingleEG5_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.5	1	0.48	0.3	1	0.32	0.6	1	0.6	0.4	1	0.4	0.8	1	0.78	0.5	1	0.52	1	1	0.96	0.6	1	0.64	1.2	1	1.2	0.8	1	0.8	1.4	1	1.38	0.9	1	0.92	1.6	1	1.56	1	1	1.04	1.8	1	1.8	1.2	1	1.2	100
	HLT_HIUPC_SingleEG5_NotMBHF2OR_v1	L1_SingleEG5_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.5	1	0.48	0.5	1	0.48	0.6	1	0.6	0.6	1	0.6	0.8	1	0.78	0.8	1	0.78	1	1	0.96	1	1	0.96	1.2	1	1.2	1.2	1	1.2	1.4	1	1.38	1.4	1	1.38	1.6	1	1.56	1.6	1	1.56	1.8	1	1.8	1.8	1	1.8	100
