				8kHz						10kHz						13kHz						16kHz						20kHz						23kHz						26kHz						30kHz						
PInG	Trigger	L1 seed	Proposed dataset	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	EvtSize (KB)
	HLT_HIMinimumBias_part0_v1	L1_MinimumBiasHF1_AND_BptxAND	AAHIMinimumBiasN	8000	1	8000	8000	16	500	10000	1	10000	10000	20	500	13000	1	13000	13000	26	500	16000	1	16000	16000	32	500	20000	1	20000	20000	40	500	23000	2	11500	23000	23	500	26000	2	13000	26000	26	500	30000	2	15000	30000	30	500	1000
																																																				
																																																				
	HLT_HIPuAK4CaloJet80_45_45_Eta2p1_v1	L1_SingleJet56_BptxAND	HIHardProbes	815.7	1	815.7	2.018	1	2.018	1019.6	1	1019.625	2.5	2	1.26125	1325.5	1	1325.5125	3.3	3	1.093083333	1631.4	1	1631.4	4	3	1.345333333	2039.3	1	2039.25	5	1	5.045	2345.1	1	2345.1375	5.8	1	5.80175	2651	1	2651.025	6.6	1	6.5585	3058.9	1	3058.875	7.6	1	7.5675	3000
	HLT_HIPuAK4CaloJet60Eta2p4_DeepCSV0p4_v1	L1_SingleJet44_BptxAND	HIHardProbes	1598.8	1	1598.8	8.918	7	1.274	1998.5	1	1998.5	11.1	17	0.655735294	2598.1	1	2598.05	14.5	17	0.852455882	3197.6	1	3197.6	17.8	19	0.938736842	3997	1	3997	22.3	2	11.1475	4596.6	1	4596.55	25.6	2	12.819625	5196.1	1	5196.1	29	2	14.49175	5995.5	1	5995.5	33.4	3	11.1475	3000
	HLT_HIPuAK4CaloJet80Eta2p4_DeepCSV0p4_v1	L1_SingleJet56_BptxAND	HIHardProbes	815.7	1	815.7	1.477	1	1.477	1019.6	1	1019.625	1.8	1	1.84625	1325.5	1	1325.5125	2.4	1	2.400125	1631.4	1	1631.4	3	1	2.954	2039.3	1	2039.25	3.7	1	3.6925	2345.1	1	2345.1375	4.2	1	4.246375	2651	1	2651.025	4.8	1	4.80025	3058.9	1	3058.875	5.5	1	5.53875	3000
	HLT_HIPuAK4CaloJet100Eta2p4_DeepCSV0p4_v1	L1_SingleJet60_BptxAND	HIHardProbes	602.1	1	602.1	0.36	1	0.36	752.6	1	752.625	0.5	1	0.45	978.4	1	978.4125	0.6	1	0.585	1204.2	1	1204.2	0.7	1	0.72	1505.3	1	1505.25	0.9	1	0.9	1731	1	1731.0375	1	1	1.035	1956.8	1	1956.825	1.2	1	1.17	2257.9	1	2257.875	1.4	1	1.35	3000
	HLT_HIPuAK4CaloJet60Eta2p4_CSVv2WP0p75_v1	L1_SingleJet44_BptxAND	HIHardProbes	1598.8	1	1598.8	14.935	13	1.148846154	1998.5	1	1998.5	18.7	23	0.811684783	2598.1	1	2598.05	24.3	29	0.836875	3197.6	1	3197.6	29.9	29	1.03	3997	1	3997	37.3	2	18.66875	4596.6	1	4596.55	42.9	2	21.4690625	5196.1	1	5196.1	48.5	2	24.269375	5995.5	1	5995.5	56	3	18.66875	3000
	HLT_HIPuAK4CaloJet80Eta2p4_CSVv2WP0p75_v1	L1_SingleJet56_BptxAND	HIHardProbes	815.7	1	815.7	2	1	2	1019.6	1	1019.625	2.5	1	2.5	1325.5	1	1325.5125	3.3	1	3.25	1631.4	1	1631.4	4	1	4	2039.3	1	2039.25	5	1	5	2345.1	1	2345.1375	5.8	1	5.75	2651	1	2651.025	6.5	1	6.5	3058.9	1	3058.875	7.5	1	7.5	3000
	HLT_HIPuAK4CaloJet100Eta2p4_CSVv2WP0p75_v1	L1_SingleJet60_BptxAND	HIHardProbes	602.1	1	602.1	0.522	1	0.522	752.6	1	752.625	0.7	1	0.6525	978.4	1	978.4125	0.8	1	0.84825	1204.2	1	1204.2	1	1	1.044	1505.3	1	1505.25	1.3	1	1.305	1731	1	1731.0375	1.5	1	1.50075	1956.8	1	1956.825	1.7	1	1.6965	2257.9	1	2257.875	2	1	1.9575	3000
	HLT_HICsAK4PFJet60Eta1p5_v1	L1_SingleJet44_BptxAND	HIHardProbesLower	1598.8	1	1598.8	22.178	29	0.764758621	1998.5	1	1998.5	27.7	7	3.960357143	2598.1	1	2598.05	36	47	0.766792553	3197.6	1	3197.6	44.4	61	0.727147541	3997	1	3997	55.4	17	3.261470588	4596.6	1	4596.55	63.8	11	5.796522727	5196.1	1	5196.1	72.1	11	6.552590909	5995.5	1	5995.5	83.2	11	7.560681818	3000
	HLT_HICsAK4PFJet80Eta1p5_v1	L1_SingleJet56_BptxAND	HIHardProbes	815.7	1	815.7	6.936	7	0.990857143	1019.6	1	1019.625	8.7	11	0.788181818	1325.5	1	1325.5125	11.3	13	0.867	1631.4	1	1631.4	13.9	17	0.816	2039.3	1	2039.25	17.3	3	5.78	2345.1	1	2345.1375	19.9	3	6.647	2651	1	2651.025	22.5	3	7.514	3058.9	1	3058.875	26	5	5.202	3000
	HLT_HICsAK4PFJet100Eta1p5_v1	L1_SingleJet60_BptxAND	HIHardProbes	602.1	1	602.1	2.81	1	2.81	752.6	1	752.625	3.5	1	3.5125	978.4	1	978.4125	4.6	1	4.56625	1204.2	1	1204.2	5.6	1	5.62	1505.3	1	1505.25	7	1	7.025	1731	1	1731.0375	8.1	1	8.07875	1956.8	1	1956.825	9.1	1	9.1325	2257.9	1	2257.875	10.5	1	10.5375	3000
	HLT_HICsAK4PFJet120Eta1p5_v1	L1_SingleJet60_BptxAND	HIHardProbes	602.1	1	602.1	1.189	1	1.189	752.6	1	752.625	1.5	1	1.48625	978.4	1	978.4125	1.9	1	1.932125	1204.2	1	1204.2	2.4	1	2.378	1505.3	1	1505.25	3	1	2.9725	1731	1	1731.0375	3.4	1	3.418375	1956.8	1	1956.825	3.9	1	3.86425	2257.9	1	2257.875	4.5	1	4.45875	3000
																																																				
	HLT_HIEle10Gsf_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbes	8000	1	8000	15.764	19	0.829684211	10000	1	10000	19.7	23	0.85673913	13000	1	13000	25.6	31	0.82633871	16000	1	16000	31.5	41	0.76897561	20000	1	20000	39.4	13	3.031538462	23000	2	11500	45.3	7	3.23725	26000	2	13000	51.2	7	3.6595	30000	2	15000	59.1	11	2.687045455	3000
	HLT_HIEle15Gsf_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbes	8000	1	8000	4.918	5	0.9836	10000	1	10000	6.1	7	0.878214286	13000	1	13000	8	11	0.726522727	16000	1	16000	9.8	13	0.756615385	20000	1	20000	12.3	5	2.459	23000	2	11500	14.1	3	2.356541667	26000	2	13000	16	3	2.663916667	30000	2	15000	18.4	3	3.07375	3000
	HLT_HIEle20Gsf_v1	L1_SingleEG15_BptxAND	HIHardProbes	553	1	553	1.73	1	1.73	691.3	1	691.25	2.2	1	2.1625	898.6	1	898.625	2.8	1	2.81125	1106	1	1106	3.5	1	3.46	1382.5	1	1382.5	4.3	1	4.325	1589.9	1	1589.875	5	1	4.97375	1797.3	1	1797.25	5.6	1	5.6225	2073.8	1	2073.75	6.5	1	6.4875	3000
	HLT_HIEle30Gsf_v1	L1_SingleEG15_BptxAND	HIHardProbes	553	1	553	0.739	1	0.739	691.3	1	691.25	0.9	1	0.92375	898.6	1	898.625	1.2	1	1.200875	1106	1	1106	1.5	1	1.478	1382.5	1	1382.5	1.8	1	1.8475	1589.9	1	1589.875	2.1	1	2.124625	1797.3	1	1797.25	2.4	1	2.40175	2073.8	1	2073.75	2.8	1	2.77125	3000
	HLT_HIEle40Gsf_v1	L1_SingleEG21_BptxAND	HIHardProbes	114.7	1	114.7	0.252	1	0.252	143.4	1	143.375	0.3	1	0.315	186.4	1	186.3875	0.4	1	0.4095	229.4	1	229.4	0.5	1	0.504	286.8	1	286.75	0.6	1	0.63	329.8	1	329.7625	0.7	1	0.7245	372.8	1	372.775	0.8	1	0.819	430.1	1	430.125	0.9	1	0.945	3000
	HLT_HIEle50Gsf_v1	L1_SingleEG21_BptxAND	HIHardProbes	114.7	1	114.7	0.108	1	0.108	143.4	1	143.375	0.1	1	0.135	186.4	1	186.3875	0.2	1	0.1755	229.4	1	229.4	0.2	1	0.216	286.8	1	286.75	0.3	1	0.27	329.8	1	329.7625	0.3	1	0.3105	372.8	1	372.775	0.4	1	0.351	430.1	1	430.125	0.4	1	0.405	3000
	HLT_HIDoubleEle15Gsf_v1	L1_SingleEG15_BptxAND	HIHardProbes	553	1	553	0.018	1	0.018	691.3	1	691.25	0	1	0.0225	898.6	1	898.625	0	1	0.02925	1106	1	1106	0	1	0.036	1382.5	1	1382.5	0	1	0.045	1589.9	1	1589.875	0.1	1	0.05175	1797.3	1	1797.25	0.1	1	0.0585	2073.8	1	2073.75	0.1	1	0.0675	3000
	HLT_HIDoubleEle15GsfMass50_v1	L1_SingleEG15_BptxAND	HIHardProbes	553	1	553	0.018	1	0.018	691.3	1	691.25	0	1	0.0225	898.6	1	898.625	0	1	0.02925	1106	1	1106	0	1	0.036	1382.5	1	1382.5	0	1	0.045	1589.9	1	1589.875	0.1	1	0.05175	1797.3	1	1797.25	0.1	1	0.0585	2073.8	1	2073.75	0.1	1	0.0675	3000
	HLT_HIEle15Ele10Gsf_v1	L1_SingleEG15_BptxAND	HIHardProbes	553	1	553	0.036	1	0.036	691.3	1	691.25	0	1	0.045	898.6	1	898.625	0.1	1	0.0585	1106	1	1106	0.1	1	0.072	1382.5	1	1382.5	0.1	1	0.09	1589.9	1	1589.875	0.1	1	0.1035	1797.3	1	1797.25	0.1	1	0.117	2073.8	1	2073.75	0.1	1	0.135	3000
	HLT_HIEle15Ele10GsfMass50_v1	L1_SingleEG15_BptxAND	HIHardProbes	553	1	553	0.018	1	0.018	691.3	1	691.25	0	1	0.0225	898.6	1	898.625	0	1	0.02925	1106	1	1106	0	1	0.036	1382.5	1	1382.5	0	1	0.045	1589.9	1	1589.875	0.1	1	0.05175	1797.3	1	1797.25	0.1	1	0.0585	2073.8	1	2073.75	0.1	1	0.0675	3000
	HLT_HIDoubleEle10Gsf_v1	L1_SingleEG15_BptxAND	HIHardProbes	553	1	553	0.036	1	0.036	691.3	1	691.25	0	1	0.045	898.6	1	898.625	0.1	1	0.0585	1106	1	1106	0.1	1	0.072	1382.5	1	1382.5	0.1	1	0.09	1589.9	1	1589.875	0.1	1	0.1035	1797.3	1	1797.25	0.1	1	0.117	2073.8	1	2073.75	0.1	1	0.135	3000
	HLT_HIDoubleEle10GsfMass50_v1	L1_SingleEG15_BptxAND	HIHardProbes	553	1	553	0.018	1	0.018	691.3	1	691.25	0	1	0.0225	898.6	1	898.625	0	1	0.02925	1106	1	1106	0	1	0.036	1382.5	1	1382.5	0	1	0.045	1589.9	1	1589.875	0.1	1	0.05175	1797.3	1	1797.25	0.1	1	0.0585	2073.8	1	2073.75	0.1	1	0.0675	3000
																																																				
	HLT_HIEle10Gsf_PuAK4CaloJet40Eta2p1_v1	L1_SingleEG15_SingleJet28_MidEta2p7_BptxAND	HIHardProbes	546.9	1	546.9	4.324	7	0.617714286	683.6	1	683.625	5.4	11	0.491363636	888.7	1	888.7125	7	13	0.5405	1093.8	1	1093.8	8.6	17	0.508705882	1367.3	1	1367.25	10.8	3	3.603333333	1572.3	1	1572.3375	12.4	3	4.143833333	1777.4	1	1777.425	14.1	3	4.684333333	2050.9	1	2050.875	16.2	5	3.243	3000
	HLT_HIEle10Gsf_PuAK4CaloJet60Eta2p1_v1	L1_SingleEG15_SingleJet44_MidEta2p7_BptxAND	HIHardProbes	484.1	1	484.1	0.919	1	0.919	605.1	1	605.125	1.1	1	1.14875	786.7	1	786.6625	1.5	1	1.493375	968.2	1	968.2	1.8	1	1.838	1210.3	1	1210.25	2.3	1	2.2975	1391.8	1	1391.7875	2.6	1	2.642125	1573.3	1	1573.325	3	1	2.98675	1815.4	1	1815.375	3.4	1	3.44625	3000
	HLT_HIEle10Gsf_PuAK4CaloJet80Eta2p1_v1	L1_SingleEG15_SingleJet56_MidEta2p7_BptxAND	HIHardProbes	340.5	1	340.5	0.342	1	0.342	425.6	1	425.625	0.4	1	0.4275	553.3	1	553.3125	0.6	1	0.55575	681	1	681	0.7	1	0.684	851.3	1	851.25	0.9	1	0.855	978.9	1	978.9375	1	1	0.98325	1106.6	1	1106.625	1.1	1	1.1115	1276.9	1	1276.875	1.3	1	1.2825	3000
	HLT_HIEle10Gsf_PuAK4CaloJet100Eta2p1_v1	L1_SingleEG15_SingleJet60_MidEta2p7_BptxAND	HIHardProbes	275.3	1	275.3	0.126	1	0.126	344.1	1	344.125	0.2	1	0.1575	447.4	1	447.3625	0.2	1	0.20475	550.6	1	550.6	0.3	1	0.252	688.3	1	688.25	0.3	1	0.315	791.5	1	791.4875	0.4	1	0.36225	894.7	1	894.725	0.4	1	0.4095	1032.4	1	1032.375	0.5	1	0.4725	3000
	HLT_HIEle15Gsf_PuAK4CaloJet40Eta2p1_v1	L1_SingleEG15_SingleJet28_MidEta2p7_BptxAND	HIHardProbes	546.9	1	546.9	2.883	1	2.883	683.6	1	683.625	3.6	1	3.60375	888.7	1	888.7125	4.7	1	4.684875	1093.8	1	1093.8	5.8	1	5.766	1367.3	1	1367.25	7.2	1	7.2075	1572.3	1	1572.3375	8.3	1	8.288625	1777.4	1	1777.425	9.4	1	9.36975	2050.9	1	2050.875	10.8	1	10.81125	3000
	HLT_HIEle15Gsf_PuAK4CaloJet60Eta2p1_v1	L1_SingleEG15_SingleJet44_MidEta2p7_BptxAND	HIHardProbes	484.1	1	484.1	0.739	1	0.739	605.1	1	605.125	0.9	1	0.92375	786.7	1	786.6625	1.2	1	1.200875	968.2	1	968.2	1.5	1	1.478	1210.3	1	1210.25	1.8	1	1.8475	1391.8	1	1391.7875	2.1	1	2.124625	1573.3	1	1573.325	2.4	1	2.40175	1815.4	1	1815.375	2.8	1	2.77125	3000
	HLT_HIEle15Gsf_PuAK4CaloJet80Eta2p1_v1	L1_SingleEG15_SingleJet56_MidEta2p7_BptxAND	HIHardProbes	340.5	1	340.5	0.288	1	0.288	425.6	1	425.625	0.4	1	0.36	553.3	1	553.3125	0.5	1	0.468	681	1	681	0.6	1	0.576	851.3	1	851.25	0.7	1	0.72	978.9	1	978.9375	0.8	1	0.828	1106.6	1	1106.625	0.9	1	0.936	1276.9	1	1276.875	1.1	1	1.08	3000
	HLT_HIEle15Gsf_PuAK4CaloJet100Eta2p1_v1	L1_SingleEG15_SingleJet60_MidEta2p7_BptxAND	HIHardProbes	275.3	1	275.3	0.072	1	0.072	344.1	1	344.125	0.1	1	0.09	447.4	1	447.3625	0.1	1	0.117	550.6	1	550.6	0.1	1	0.144	688.3	1	688.25	0.2	1	0.18	791.5	1	791.4875	0.2	1	0.207	894.7	1	894.725	0.2	1	0.234	1032.4	1	1032.375	0.3	1	0.27	3000
	HLT_HIEle20Gsf_PuAK4CaloJet40Eta2p1_v1	L1_SingleEG15_SingleJet28_MidEta2p7_BptxAND	HIHardProbes	546.9	1	546.9	1.585	1	1.585	683.6	1	683.625	2	1	1.98125	888.7	1	888.7125	2.6	1	2.575625	1093.8	1	1093.8	3.2	1	3.17	1367.3	1	1367.25	4	1	3.9625	1572.3	1	1572.3375	4.6	1	4.556875	1777.4	1	1777.425	5.2	1	5.15125	2050.9	1	2050.875	5.9	1	5.94375	3000
	HLT_HIEle20Gsf_PuAK4CaloJet60Eta2p1_v1	L1_SingleEG15_SingleJet44_MidEta2p7_BptxAND	HIHardProbes	484.1	1	484.1	0.613	1	0.613	605.1	1	605.125	0.8	1	0.76625	786.7	1	786.6625	1	1	0.996125	968.2	1	968.2	1.2	1	1.226	1210.3	1	1210.25	1.5	1	1.5325	1391.8	1	1391.7875	1.8	1	1.762375	1573.3	1	1573.325	2	1	1.99225	1815.4	1	1815.375	2.3	1	2.29875	3000
	HLT_HIEle20Gsf_PuAK4CaloJet80Eta2p1_v1	L1_SingleEG15_SingleJet56_MidEta2p7_BptxAND	HIHardProbes	340.5	1	340.5	0.234	1	0.234	425.6	1	425.625	0.3	1	0.2925	553.3	1	553.3125	0.4	1	0.38025	681	1	681	0.5	1	0.468	851.3	1	851.25	0.6	1	0.585	978.9	1	978.9375	0.7	1	0.67275	1106.6	1	1106.625	0.8	1	0.7605	1276.9	1	1276.875	0.9	1	0.8775	3000
	HLT_HIEle20Gsf_PuAK4CaloJet100Eta2p1_v1	L1_SingleEG15_SingleJet60_MidEta2p7_BptxAND	HIHardProbes	275.3	1	275.3	0.054	1	0.054	344.1	1	344.125	0.1	1	0.0675	447.4	1	447.3625	0.1	1	0.08775	550.6	1	550.6	0.1	1	0.108	688.3	1	688.25	0.1	1	0.135	791.5	1	791.4875	0.2	1	0.15525	894.7	1	894.725	0.2	1	0.1755	1032.4	1	1032.375	0.2	1	0.2025	3000
	HLT_HIL1Mu5Eta2p5_Ele20Gsf_v1	L1_SingleMuOpen_BptxAND	HIHardProbes	1255.36	1	1255.36	0.09	1	0.09	1569.2	1	1569.2	0.1	1	0.1125	2040	1	2039.96	0.1	1	0.14625	2510.7	1	2510.72	0.2	1	0.18	3138.4	1	3138.4	0.2	1	0.225	3609.2	1	3609.16	0.3	1	0.25875	4079.9	1	4079.92	0.3	1	0.2925	4707.6	1	4707.6	0.3	1	0.3375	3000
	HLT_HIL1Mu7Eta2p5_Ele20Gsf_v1	L1_SingleMuOpen_BptxAND	HIHardProbes	1255.36	1	1255.36	0.036	1	0.036	1569.2	1	1569.2	0	1	0.045	2040	1	2039.96	0.1	1	0.0585	2510.7	1	2510.72	0.1	1	0.072	3138.4	1	3138.4	0.1	1	0.09	3609.2	1	3609.16	0.1	1	0.1035	4079.9	1	4079.92	0.1	1	0.117	4707.6	1	4707.6	0.1	1	0.135	3000
																																																				
	HLT_HIGEDPhoton10_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbesLower	8000	1	8000	1152.15	1523	0.756500328	10000	1	10000	1440.2	1901	0.757594687	13000	1	13000	1872.2	2467	0.75891518	16000	1	16000	2304.3	3041	0.757744163	20000	1	20000	2880.4	3803	0.757395477	23000	2	11500	3312.4	2179	0.760080599	26000	2	13000	3744.5	2473	0.757073898	30000	2	15000	4320.6	5701	0.378930232	3000
	HLT_HIGEDPhoton20_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbesLower	8000	1	8000	53.129	67	0.792970149	10000	1	10000	66.4	83	0.800135542	13000	1	13000	86.3	113	0.76402323	16000	1	16000	106.3	137	0.775605839	20000	1	20000	132.8	173	0.767760116	23000	2	11500	152.7	13	5.874841346	26000	2	13000	172.7	13	6.641125	30000	2	15000	199.2	19	5.242993421	3000
	HLT_HIGEDPhoton30_v1	L1_SingleEG7_BptxAND	HIHardProbes	2392	1	2392	9.765	11	0.887727273	2990	1	2990	12.2	17	0.718014706	3887	1	3887	15.9	19	0.835164474	4784	1	4784	19.5	23	0.849130435	5980	1	5980	24.4	7	3.4875	6877	1	6877	28.1	7	4.010625	7774	1	7774	31.7	7	4.53375	8970	1	8970	36.6	11	3.328977273	3000
	HLT_HIGEDPhoton40_v1	L1_SingleEG21_BptxAND	HIHardProbes	114.7	1	114.7	2.252	1	2.252	143.4	1	143.375	2.8	1	2.815	186.4	1	186.3875	3.7	1	3.6595	229.4	1	229.4	4.5	1	4.504	286.8	1	286.75	5.6	1	5.63	329.8	1	329.7625	6.5	1	6.4745	372.8	1	372.775	7.3	1	7.319	430.1	1	430.125	8.4	1	8.445	3000
	HLT_HIGEDPhoton50_v1	L1_SingleEG21_BptxAND	HIHardProbes	114.7	1	114.7	0.883	1	0.883	143.4	1	143.375	1.1	1	1.10375	186.4	1	186.3875	1.4	1	1.434875	229.4	1	229.4	1.8	1	1.766	286.8	1	286.75	2.2	1	2.2075	329.8	1	329.7625	2.5	1	2.538625	372.8	1	372.775	2.9	1	2.86975	430.1	1	430.125	3.3	1	3.31125	3000
	HLT_HIGEDPhoton60_v1	L1_SingleEG30_BptxAND	HIHardProbes	19.7	1	19.7	0.45	1	0.45	24.6	1	24.625	0.6	1	0.5625	32	1	32.0125	0.7	1	0.73125	39.4	1	39.4	0.9	1	0.9	49.3	1	49.25	1.1	1	1.125	56.6	1	56.6375	1.3	1	1.29375	64	1	64.025	1.5	1	1.4625	73.9	1	73.875	1.7	1	1.6875	3000
	HLT_HIGEDPhoton10_EB_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbesLower	8000	1	8000	497.005	659	0.754180577	10000	1	10000	621.3	823	0.754867862	13000	1	13000	807.6	1069	0.755503391	16000	1	16000	994	1321	0.752467827	20000	1	20000	1242.5	1657	0.749856669	23000	2	11500	1428.9	947	0.754429448	26000	2	13000	1615.3	1069	0.755503391	30000	2	15000	1863.8	2477	0.376214927	3000
	HLT_HIGEDPhoton20_EB_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbesLower	8000	1	8000	19.475	23	0.84673913	10000	1	10000	24.3	29	0.839439655	13000	1	13000	31.6	41	0.771875	16000	1	16000	39	47	0.828723404	20000	1	20000	48.7	61	0.798155738	23000	2	11500	56	7	3.999330357	26000	2	13000	63.3	7	4.520982143	30000	2	15000	73	5	7.303125	3000
	HLT_HIGEDPhoton30_EB_v1	L1_SingleEG7_BptxAND	HIHardProbes	2392	1	2392	4.126	5	0.8252	2990	1	2990	5.2	5	1.0315	3887	1	3887	6.7	7	0.957821429	4784	1	4784	8.3	11	0.750181818	5980	1	5980	10.3	1	10.315	6877	1	6877	11.9	1	11.86225	7774	1	7774	13.4	1	13.4095	8970	1	8970	15.5	3	5.1575	3000
	HLT_HIGEDPhoton40_EB_v1	L1_SingleEG21_BptxAND	HIHardProbes	114.7	1	114.7	1.207	1	1.207	143.4	1	143.375	1.5	1	1.50875	186.4	1	186.3875	2	1	1.961375	229.4	1	229.4	2.4	1	2.414	286.8	1	286.75	3	1	3.0175	329.8	1	329.7625	3.5	1	3.470125	372.8	1	372.775	3.9	1	3.92275	430.1	1	430.125	4.5	1	4.52625	3000
	HLT_HIGEDPhoton50_EB_v1	L1_SingleEG21_BptxAND	HIHardProbes	114.7	1	114.7	0.468	1	0.468	143.4	1	143.375	0.6	1	0.585	186.4	1	186.3875	0.8	1	0.7605	229.4	1	229.4	0.9	1	0.936	286.8	1	286.75	1.2	1	1.17	329.8	1	329.7625	1.3	1	1.3455	372.8	1	372.775	1.5	1	1.521	430.1	1	430.125	1.8	1	1.755	3000
	HLT_HIGEDPhoton60_EB_v1	L1_SingleEG30_BptxAND	HIHardProbes	19.7	1	19.7	0.288	1	0.288	24.6	1	24.625	0.4	1	0.36	32	1	32.0125	0.5	1	0.468	39.4	1	39.4	0.6	1	0.576	49.3	1	49.25	0.7	1	0.72	56.6	1	56.6375	0.8	1	0.828	64	1	64.025	0.9	1	0.936	73.9	1	73.875	1.1	1	1.08	3000
																																																				
	HLT_HIIslandPhoton10_Eta3p1_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbesLower	8000	1	8000	1937.11	2633	0.73570452	10000	1	10000	2421.4	3299	0.733976205	13000	1	13000	3147.8	4289	0.733924866	16000	1	16000	3874.2	5279	0.733892783	20000	1	20000	4842.8	6599	0.73386498	23000	2	11500	5569.2	3793	0.734140687	26000	2	13000	6295.6	4283	0.734953012	30000	2	15000	7264.2	9901	0.366839839	3000
	HLT_HIIslandPhoton20_Eta3p1_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbesLower	8000	1	8000	439.894	547	0.804193784	10000	1	10000	549.9	683	0.805076867	13000	1	13000	714.8	887	0.805893743	16000	1	16000	879.8	1097	0.801994531	20000	1	20000	1099.7	1373	0.800972323	23000	2	11500	1264.7	787	0.803491264	26000	2	13000	1429.7	887	0.805893743	30000	2	15000	1649.6	2063	0.399806714	3000
	HLT_HIIslandPhoton30_Eta3p1_v1	L1_SingleEG7_BptxAND	HIHardProbes	2392	1	2392	32.339	37	0.874027027	2990	1	2990	40.4	47	0.860079787	3887	1	3887	52.6	61	0.861489754	4784	1	4784	64.7	79	0.818708861	5980	1	5980	80.8	23	3.515108696	6877	1	6877	93	23	4.042375	7774	1	7774	105.1	23	4.569641304	8970	1	8970	121.3	41	2.957835366	3000
	HLT_HIIslandPhoton40_Eta3p1_v1	L1_SingleEG21_BptxAND	HIHardProbes	114.7	1	114.7	3.729	1	3.729	143.4	1	143.375	4.7	1	4.66125	186.4	1	186.3875	6.1	1	6.059625	229.4	1	229.4	7.5	1	7.458	286.8	1	286.75	9.3	1	9.3225	329.8	1	329.7625	10.7	1	10.720875	372.8	1	372.775	12.1	1	12.11925	430.1	1	430.125	14	1	13.98375	3000
	HLT_HIIslandPhoton50_Eta3p1_v1	L1_SingleEG21_BptxAND	HIHardProbes	114.7	1	114.7	1.549	1	1.549	143.4	1	143.375	1.9	1	1.93625	186.4	1	186.3875	2.5	1	2.517125	229.4	1	229.4	3.1	1	3.098	286.8	1	286.75	3.9	1	3.8725	329.8	1	329.7625	4.5	1	4.453375	372.8	1	372.775	5	1	5.03425	430.1	1	430.125	5.8	1	5.80875	3000
	HLT_HIIslandPhoton60_Eta3p1_v1	L1_SingleEG30_BptxAND	HIHardProbes	19.7	1	19.7	0.775	1	0.775	24.6	1	24.625	1	1	0.96875	32	1	32.0125	1.3	1	1.259375	39.4	1	39.4	1.6	1	1.55	49.3	1	49.25	1.9	1	1.9375	56.6	1	56.6375	2.2	1	2.228125	64	1	64.025	2.5	1	2.51875	73.9	1	73.875	2.9	1	2.90625	3000
	HLT_HIIslandPhoton10_Eta1p5_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbesLower	8000	1	8000	541.864	709	0.764265162	10000	1	10000	677.3	887	0.76361894	13000	1	13000	880.5	1163	0.757118659	16000	1	16000	1083.7	1429	0.758382085	20000	1	20000	1354.7	1787	0.758063794	23000	2	11500	1557.9	1021	0.762908423	26000	2	13000	1761.1	1163	0.757118659	30000	2	15000	2032	2683	0.378678718	3000
	HLT_HIIslandPhoton20_Eta1p5_v1	L1_MinimumBiasHF1_AND_BptxAND	HIHardProbesLower	8000	1	8000	30.969	37	0.837	10000	1	10000	38.7	47	0.823643617	13000	1	13000	50.3	61	0.824993853	16000	1	16000	61.9	79	0.784025317	20000	1	20000	77.4	97	0.798170103	23000	2	11500	89	7	6.359705357	26000	2	13000	100.6	5	10.064925	30000	2	15000	116.1	13	4.466682692	3000
	HLT_HIIslandPhoton30_Eta1p5_v1	L1_SingleEG7_BptxAND	HIHardProbes	2392	1	2392	6.36	7	0.908571429	2990	1	2990	8	11	0.722727273	3887	1	3887	10.3	13	0.795	4784	1	4784	12.7	17	0.748235294	5980	1	5980	15.9	2	7.95	6877	1	6877	18.3	2	9.1425	7774	1	7774	20.7	2	10.335	8970	1	8970	23.9	5	4.77	3000
